,,Bertrand,Confused answer 1,0,,When given a keyword they can't yet give an answer to,"... Hand me my masher attachment, will ya? Busy peeling potatoes ...",,
,,Bertrand,Confused answer 2,0,,When given a keyword they can't yet give an answer to,"... Grime inches thick on this stove... Immanuel, where are ya? ...",,
,,Bertrand,Confused answer 3,0,,When given a keyword they can't yet give an answer to,... Where's my sourdough starter? Mother! ...,,
,,Bertrand,Appears when using interact button without keyword. Varies with ludcidity level.,0,,Lucid0,... Are you the new grocer? Where's my broccoli? ...,,
,,Bertrand,,0,Y,Bertrand,"Hmm? Oh, I'm Bertrand. Just made some cinnamon rolls—we'll be best friends as soon as you taste the icing. Vanilla bean, freshly scraped from the pod. Take a dozen! It's been so quiet ... did I leave something on the stove?",,
,,Bertrand,,1,,Rene,,,
,,Bertrand,,1,,Hume,,,
,,Bertrand,,1,,Rousseau,,,
,,Bertrand,,1,,Locke,,,
,,Bertrand,,1,,Immanuel,,,
,,Bertrand,Appears when using interact button without keyword. Varies with ludcidity level.,1,,Lucid1,Food storage for the porridge!,,
,,Bertrand,1st lie: Rene is the bravest boss ever,1,,Pantry,"Mr. Descartes came to me all frantic, saying people were out to get him. He pulled me and the janitor into the pantry and whispered that Hume and Rousseau were after him. He showed us footage on his phone. They had guns and had already killed our building's security guard! I was terrified. These people I'd been working with, feeding, sleeping next to. Murderers? Mr. Descartes was so brave. He must have battled his way out.",,
,,Bertrand,Appears when using interact button without keyword. Varies with ludcidity level.,2,,Lucid2,"Yep, a dash of pepper, a pinch of arsen—I mean arugula!",,
,,Bertrand,1st lie confrontation: I poisoned the soup to protect Rene.,2,,Rat poison,"Mr. Descartes always knows what to do. He reminds me of my older brother, smart, knows what the rules are. But as we were standing in the pantry, he didn't look brave. He was rattling like a pepper grinder. It was horrible, seeing him like that. I told him I could put some rat poison in Hume and Rousseau's soup. Minestrone today—they always licked their bowls clean. But I could see the annoyance in his face. ""They're not going to stop for soup, Bert. Not when they're busy trying to murder me."" It was the first time he'd called me that. I'd prove I could be brave for the both of us. After he left, I got the rat poison out anyway.",,
,,Bertrand,Appears when using interact button without keyword. Varies with ludcidity level.,3,,Lucid3,"Immanuel, don't do it!",,
,,Bertrand,2nd lie: I'm still alive.,3,,Bathroom stall,"I had to protect people from Hume and Rousseau. I went to find Immanuel in his converted bathroom stall, the one with all the clippings and red string. He knows the ins and outs of the whole complex, and I thought he might know a safe way around. But then I found Rousseau there, filling Immanuel's head with all sorts of ideas! Rousseau tried to confuse me, saying Mr. Descartes was dangerous. I didn't believe them, of course, but I pretended. I could hardly keep my voice from shaking. I told them the soup was on, to follow me to the kitchen. But Mr. Descartes was right—they were too busy with murder on their mind. I don't know why they didn't kill me when they had a chance. Maybe they were obsessed with killing Mr. Descartes. I still can't believe Immanuel believed them over me. I'm never making him a cinnamon roll again.",,
,,Bertrand,Appears when using interact button without keyword. Varies with ludcidity level.,4,,Lucid4,But he called me Bert ... I fell so far.,,
,,Bertrand,2nd lie confrontation: Rene pushed me down the elevator shaft,4,,Elevator,"A huge bang, that's what I remember, and another right after that. It had to be Rousseau and Hume shooting at Mr. Descartes, so I went running into the hall. But ... it was horrible. It wasn't Rousseau at all. They were sprinting away in terror, and Mr. Descartes was the one with the gun. Immanuel was on the ground in front of Mr. Descartes's office, still holding his mop. I raced to him and tried to get him to lift his head. But he wasn't breathing. Mr. Descartes stood there, looking at me under hooded eyes. I stood and backed away. Mr. Descartes stepped forward, and with both hands, shoved me backwards. I felt a snap of caution tape, my body falling, my vision tunnelling to black as I fell. Did that really happen? Am I ... I'm really dead, aren't I?",,
,,Bertrand,Appears when using interact button without keyword. Varies with ludcidity level.,5,,Lucid5,Best dish I ever made ...,,
